delete_index,value,time_ns,operations
922,31541,1000,66
923,98245,900,74
924,78200,1100,71
925,18370,1000,69
926,53505,1100,69
927,80526,1100,64
928,36018,900,66
929,85750,1000,73
930,69860,1000,82
931,21544,1100,68
932,3696,1200,73
933,65338,1200,69
934,88519,900,73
935,24408,1300,73
936,10901,800,73
937,24645,1200,79
938,5436,900,71
939,79361,1000,68
940,24328,800,69
941,40672,900,64
942,10940,1100,68
943,76920,1000,64
944,55492,900,56
945,78708,800,68
946,15145,1000,69
947,1444,1300,79
948,94060,900,64
949,17909,1000,74
950,54610,900,68
951,57429,1000,73
952,187,1000,71
953,47333,900,63
954,72469,800,64
955,96382,1100,75
956,20282,900,76
957,14438,2200,73
958,31518,1100,77
959,88495,1200,74
960,70987,1000,69
961,80384,1300,66
962,89582,900,73
963,8723,900,63
964,89794,900,67
965,11947,800,64
966,54775,1000,64
967,72835,800,66
968,65012,1000,78
969,39290,900,64
970,82659,700,59
971,60005,900,64
972,66471,800,69
973,51300,700,64
974,53589,1100,68
975,32901,900,73
976,37929,900,69
977,38256,900,59
978,43815,1000,78
979,85197,900,69
980,83260,1000,70
981,69788,800,54
982,34162,900,71
983,6564,900,64
984,43086,1000,61
985,99274,1100,64
986,76076,900,61
987,73409,900,74
988,24328,800,59
989,26248,900,59
990,7820,800,59
991,65227,1000,64
992,86204,900,64
993,42522,900,73
994,75465,1100,64
995,82511,1300,69
996,99361,800,63
997,93542,800,63
998,42592,900,69
999,42908,1000,68
