index,value,time_ns,operations
875,78826,900,42
876,97697,1300,44
877,71437,800,42
878,32226,1100,48
879,6364,900,42
880,32503,1200,48
881,89099,900,38
882,46085,800,38
883,32882,800,42
884,9318,900,46
885,47203,900,42
886,62756,1000,42
887,33585,2500,45
888,97606,1000,42
889,90304,800,34
890,75722,800,42
891,15492,1000,38
892,21949,900,42
893,51623,800,38
894,17392,23700,45
895,16082,900,38
896,73164,1500,44
897,16648,900,38
898,37478,1200,45
899,121,900,38
900,95077,1300,44
901,23104,1400,45
902,62445,2400,48
903,50217,800,38
904,74362,900,38
905,6121,1000,46
906,38555,1900,42
907,14399,1200,44
908,6833,1300,52
909,98111,1100,48
910,36865,1000,45
911,43836,700,38
912,67957,700,42
913,30191,800,42
914,86762,800,38
915,35330,1200,44
916,71398,1200,48
917,18142,1100,42
918,55129,1000,38
919,33483,1500,45
920,15343,900,38
921,15827,1000,42
922,31541,1300,48
923,98245,1100,42
924,78200,900,42
925,18370,1000,42
926,53505,1400,49
927,80526,1500,49
928,36018,1100,40
929,85750,1300,42
930,69860,1000,42
931,21544,1500,49
932,3696,1100,52
933,65338,1400,53
934,88519,1000,44
935,24408,1500,45
936,10901,900,42
937,24645,700,42
938,5436,1000,48
939,79361,1300,49
940,24328,700,42
941,40672,600,38
942,10940,1100,49
943,76920,800,38
944,55492,700,42
945,78708,700,42
946,15145,700,42
947,1444,1000,52
948,94060,1100,41
949,17909,1000,45
950,54610,800,38
951,57429,700,42
952,187,700,46
953,47333,1300,49
954,72469,700,42
955,96382,900,44
956,20282,2000,42
957,14438,1200,44
958,31518,800,48
959,88495,800,44
960,70987,700,42
961,80384,1200,49
962,89582,700,38
963,8723,700,38
964,89794,900,44
965,11947,800,42
966,54775,800,42
967,72835,10700,42
968,65012,1500,53
969,39290,1400,45
970,82659,700,38
971,60005,900,42
972,66471,1000,48
973,51300,1100,44
974,53589,800,42
975,32901,1200,49
976,37929,800,42
977,38256,800,42
978,43815,1100,45
979,85197,900,44
980,83260,800,38
981,69788,1300,49
982,34162,700,38
983,6564,1200,52
984,43086,800,42
985,99274,1300,45
986,76076,800,42
987,73409,700,34
988,24328,800,42
989,26248,900,44
990,7820,1200,48
991,65227,1000,52
992,86204,800,42
993,42522,800,42
994,75465,1100,48
995,82511,1100,45
996,99361,700,38
997,93542,1200,44
998,42592,2300,48
999,42908,700,42
1000,30716,1200,45
1001,94780,700,38
1002,47892,900,40
1003,34238,700,38
1004,40660,1100,45
1005,27936,900,44
1006,19536,900,42
1007,48373,1000,44
1008,46983,900,42
1009,27574,1000,40
1010,59048,800,38
1011,13105,1100,48
1012,7131,700,42
1013,78664,1200,49
1014,38718,900,42
1015,79692,1100,44
1016,87596,1100,41
1017,46486,800,42
1018,69856,1000,48
1019,40004,700,38
1020,52708,1200,49
1021,64635,1200,49
1022,64142,1000,44
1023,43476,800,42
1024,52458,800,38
1025,96281,1200,45
1026,27257,800,38
1027,18159,1200,49
1028,55217,800,42
1029,36992,800,42
1030,42119,1400,49
1031,18872,1100,45
1032,39248,800,42
1033,13696,900,38
1034,57556,1100,48
1035,80256,800,42
1036,41874,700,42
1037,58600,800,42
1038,20786,900,42
1039,14397,700,42
1040,43268,1400,49
1041,10202,1400,49
1042,59248,900,42
1043,40771,900,48
1044,58604,1100,48
1045,64461,1700,38
1046,18969,1000,42
1047,70145,800,42
1048,42265,900,46
1049,8062,1000,48
1050,72692,900,42
1051,28219,800,42
1052,47957,800,38
1053,30004,900,42
1054,44105,800,44
1055,25600,700,42
1056,96822,1300,45
1057,62863,13200,49
1058,51555,1500,45
1059,88743,1100,44
1060,16564,800,38
1061,53933,1000,42
1062,16944,1100,44
1063,44363,1100,44
1064,73622,900,38
1065,39480,900,42
1066,93445,1100,44
1067,91680,1000,42
1068,77605,900,38
1069,19247,1500,49
1070,4542,1000,46
1071,18320,900,42
1072,95234,700,42
1073,912,1000,46
1074,89220,900,38
1075,7639,900,42
1076,94515,1300,45
1077,28287,1000,48
1078,46024,1300,44
1079,25911,1200,45
1080,96344,900,38
1081,94069,1300,45
1082,80203,1500,49
1083,24825,1000,42
1084,22268,1000,44
1085,85575,1000,42
1086,77152,900,38
1087,20769,800,42
1088,14951,1000,42
1089,35762,900,42
1090,47177,1400,49
1091,45004,1900,38
1092,87824,900,38
1093,74400,1500,49
1094,87838,1400,44
1095,13737,1200,44
1096,22832,1000,44
1097,69818,1800,48
1098,11564,1100,46
1099,22737,800,42
1100,93874,1000,42
1101,63211,1300,44
1102,38489,1000,42
1103,68132,900,42
1104,65926,1500,53
1105,54252,1500,49
1106,32230,1000,42
1107,35554,900,42
1108,15029,1500,49
1109,52849,900,42
1110,83342,1500,44
1111,80258,1000,42
1112,782,1100,46
1113,84623,1200,44
1114,61579,1200,48
1115,89266,1400,45
1116,55487,1300,49
1117,9480,1100,46
1118,91448,1200,42
1119,13612,900,42
1120,20575,800,42
1121,92629,900,42
1122,37488,1000,42
1123,91666,1100,48
1124,82088,1000,42
1125,11438,1100,46
1126,61045,800,38
1127,88454,800,38
1128,4963,1200,52
1129,69369,1200,49
1130,34989,700,38
1131,58152,900,42
1132,44156,1000,44
1133,82413,1000,42
1134,72295,900,42
1135,66316,2300,48
1136,87732,1400,45
1137,77026,900,38
1138,79676,1300,48
1139,76471,900,42
1140,84948,800,38
1141,35576,1400,49
1142,39536,1100,38
1143,65750,165600,49
1144,34303,26900,45
1145,88160,1400,38
1146,36759,1000,42
1147,67227,1600,53
1148,21377,900,42
1149,73194,3200,44
1150,12276,1200,46
1151,57045,1400,49
1152,62724,2700,49
1153,85643,1100,49
1154,98397,800,38
1155,65579,900,42
1156,55873,1000,42
1157,87179,1200,45
1158,73754,900,42
1159,47637,1300,49
1160,82771,1000,44
1161,21929,1100,48
1162,69068,900,42
1163,27544,1000,45
1164,26695,800,42
1165,43820,1100,48
1166,6475,1000,46
1167,31643,900,42
1168,30479,700,38
1169,57479,1200,49
1170,74888,1000,45
1171,202,900,46
1172,11703,1000,46
1173,90599,1000,44
1174,94801,900,42
1175,45927,900,42
1176,85711,1000,48
1177,13820,900,42
1178,77683,1200,49
1179,86919,800,38
1180,55078,800,42
1181,15170,900,46
1182,16697,3400,42
1183,29232,1100,46
1184,14744,1000,49
1185,68555,1000,46
1186,33298,1100,49
1187,12238,1100,53
1188,31198,900,48
1189,6250,900,46
1190,2353,1000,53
1191,98284,800,38
1192,28035,900,42
1193,29246,1100,52
1194,91470,1300,49
1195,62773,1000,49
1196,15671,1100,49
1197,97658,1200,49
1198,86538,700,38
1199,19527,900,46
1200,90237,900,38
1201,83821,1000,44
1202,50895,800,42
1203,67792,900,42
1204,16159,800,42
1205,65203,1300,52
1206,6326,35200,52
1207,12136,24300,53
1208,39521,1000,42
1209,92215,800,38
1210,42722,800,46
1211,43,800,46
1212,65203,700,46
1213,73507,800,48
1214,39114,600,42
1215,65681,600,46
1216,12799,700,48
1217,53158,700,42
1218,31124,700,42
1219,15052,800,46
1220,1539,600,42
1221,74304,700,46
1222,87869,700,38
1223,68702,13400,53
1224,96633,900,45
1225,205,900,53
1226,48213,600,38
1227,67092,1400,53
1228,77105,700,49
1229,42636,800,46
1230,39079,600,42
1231,92194,600,42
1232,53216,800,49
1233,48650,600,38
1234,11510,1000,52
1235,93980,700,42
1236,76466,900,49
1237,76080,800,45
1238,89218,800,45
1239,87343,800,42
1240,23098,700,38
1241,39238,800,48
1242,67882,800,48
1243,9242,800,52
1244,72651,800,49
1245,15714,900,49
1246,4172,800,52
1247,6412,800,46
1248,33471,600,42
1249,18801,700,42
1250,264,800,52
1251,35579,800,49
1252,79828,700,42
1253,96577,700,42
1254,38659,700,49
1255,79838,700,48
1256,86967,600,42
1257,68425,800,53
1258,10086,600,42
1259,25352,800,42
1260,44024,700,41
1261,30229,600,42
1262,84102,600,38
1263,87426,700,49
1264,14973,800,46
1265,22577,700,42
1266,20831,700,49
1267,11651,700,42
1268,32018,600,42
1269,92753,800,42
1270,29242,2800,52
1271,71182,800,42
1272,95486,800,48
1273,92156,700,42
1274,7534,600,42
1275,69160,700,46
1276,8530,700,42
1277,58323,700,48
1278,4898,700,46
1279,67317,800,53
1280,55418,800,46
1281,98497,700,44
1282,69232,800,52
1283,77583,800,49
1284,79382,700,42
1285,39808,700,42
1286,3110,900,53
1287,81601,700,38
